Immersive Sim,Sports,Basketball,Simulation,Co-op,Multiplayer,PvP,Realistic,Local Co-Op,Online Co-Op,Singleplayer,3D,Character Customization,Trading,Controller,4 Player Local,eSports,Team-Based,Local Multiplayer,Management,,,0.180059114140506
Co-op,Multiplayer,Action,Open World,RPG,Third Person,Character Customization,Adventure,Fantasy,Difficult,Singleplayer,Action RPG,Exploration,Great Soundtrack,Replay Value,Atmospheric,Hack and Slash,JRPG,Souls-like,MMORPG,,,0.1918176691981
Strategy,RPG,Grand Strategy,Medieval,Simulation,Historical,War,Political,Management,Character Customization,Singleplayer,Choices Matter,Sandbox,Multiplayer,Moddable,Real-Time with Pause,Sexual Content,PvP,Nudity,Dating Sim,,,0.150511333517844
Tower Defense,Strategy,Multiplayer,Singleplayer,Co-op,Online Co-Op,Family Friendly,Casual,3D,Cartoony,Sandbox,Difficult,Funny,Great Soundtrack,Cute,Survival,Action,Indie,2D,Adventure,,,0.163938581383723
Open World,RPG,Story Rich,Atmospheric,Mature,Fantasy,Adventure,Singleplayer,Choices Matter,Nudity,Great Soundtrack,Third Person,Medieval,Action,Multiple Endings,Action RPG,Magic,Dark Fantasy,Dark,Sandbox,,,0.195285612571493
Action Roguelike,Roguelike,Indie,Replay Value,Difficult,Pixel Graphics,Dungeon Crawler,Great Soundtrack,Singleplayer,Dark,2D,Remake,Local Co-Op,Gore,Procedural Generation,Roguelite,Atmospheric,Action,Co-op,Horror,,,0.0924062734312688
Open World,Atmospheric,Tactical,Perma Death,FPS,Multiplayer,Shooter,Survival Horror,PvP,Difficult,Horror,Online Co-Op,Team-Based,Battle Royale,Western,Co-op,Action,Gore,Zombies,First-Person,,,0.184558489194156
Sports,Basketball,Simulation,Realistic,Multiplayer,eSports,3D,Singleplayer,Team-Based,Character Customization,Management,Controller,Trading,Deckbuilding,4 Player Local,Co-op,Gambling,Local Co-Op,Local Multiplayer,Online Co-Op,,,0.182781197888525
Strategy,RTS,City Builder,Multiplayer,Base Building,Historical,Medieval,Singleplayer,Classic,Resource Management,Tactical,Real-Time,Remake,Co-op,Isometric,Replay Value,2D,Action,Adventure,Great Soundtrack,,,0.144235091562327
Open World,RPG,Singleplayer,Assassin,Action,Adventure,Historical,Stealth,Story Rich,Female Protagonist,Third Person,Parkour,Sexual Content,Choices Matter,Multiplayer,Violent,Nudity,Atmospheric,Great Soundtrack,Gore,,,0.185337574045659
Clicker,Idler,Casual,Indie,Pixel Graphics,Management,Collectathon,Economy,Funny,Memes,Building,Strategy,Resource Management,2D,Comedy,Simulation,Colorful,Touch-Friendly,Horror,Singleplayer,,,0.168928601511762
Open World,Open World Survival Craft,Space,Exploration,Sci-fi,Survival,Procedural Generation,Adventure,First-Person,Sandbox,Singleplayer,Multiplayer,Atmospheric,Crafting,Space Sim,Indie,Action,Simulation,FPS,VR,,,0.194386726320144
Automation,Base Building,Resource Management,Sandbox,Crafting,Strategy,Multiplayer,Survival,Management,Open World,Co-op,Building,2D,Moddable,Singleplayer,Simulation,Trains,Pixel Graphics,City Builder,Indie,,,0.165015731124931
Survival,Open World,Building,Nudity,Open World Survival Craft,Crafting,Multiplayer,Sandbox,RPG,Massively Multiplayer,Action,Adventure,Online Co-Op,Exploration,Violent,Co-op,Singleplayer,Fantasy,Gore,PvP,,,0.190391569895583
Racing,Open World,Driving,Multiplayer,Automobile Sim,Adventure,Simulation,Realistic,Exploration,Arcade,First-Person,Atmospheric,Sports,PvP,Co-op,Online Co-Op,Singleplayer,Beautiful,Action,Third Person,,,0.169350871549151
FPS,World War II,Multiplayer,Shooter,Singleplayer,War,Military,First-Person,PvP,Combat,Massively Multiplayer,Open World,Action,Historical,Destruction,Battle Royale,Atmospheric,Violent,Sexual Content,Female Protagonist,,,0.143388726722875
Survival,Open World Survival Craft,Multiplayer,Open World,Zombies,Massively Multiplayer,Nudity,Action,Early Access,Adventure,Realistic,Crafting,Singleplayer,FPS,Violent,PvP,Third Person,Gore,Indie,RPG,,,0.195027182371765
Dark Comedy,RPG,Open World,Multiplayer,Multiplayer,Capitalism,Survival,Base Building,Co-op,Shooter,Horror,MMORPG,Gore,Exploration,FPS,Violent,Atmospheric,Early Access,Singleplayer,Great Soundtrac,,,0.193641561371614
Action,Military,Multiplayer,Simulation,Shooter,Realistic,First-Person,Open World,Tactical,FPS,War,Co-op,Strategy,Sandbox,Moddable,Singleplayer,Combat,Online Co-Op,Team-Based,Third-Person Shooter,,,0.134687430287414
Roguelike Deckbuilder,Card Game,Card Battle,Rouguelike,Deckbuilding,Turn-Based,Strategy,Singleplayer,Roguelite,Replay Value,Indie,Difficult,Dungeon Crawler,RPG,Mouse only,Great Soundtrack,2D,Procedural Generation,Fantasy,Casual,,,0.183295681872854
Colony Sim,Base Building,Survival,Resource Management,Building,Singleplayer,Management,Simulation,2D,Sandbox,Strategy,Space,Indie,Sci-fi,Exploration,Open World,Difficult,Adventure,Early Access,Multiplayer,,,0.174228404430107
Strategy,Historical,War,Trun-Based Strategy,Grand Strategy,RTS,Military,Multiplayer,Tactical,Singleplayer,Real Time Tactics,Action,Turn-Based,Great Soundtrack,Co-op,Simulation,Sandbox,Violent,Fantasy,Destruction,,,0.145941548153816
