rank,Steam ID,last Two Weeks,ATH,scoreSum,status_U_Count,Level,Badges,Games,Friends,Groups,Screenshots,Reviews,Cluster
86,76561198335465164,1.4,88.35,0.73,0.34,5,4,5,3,2,2,1,0
86,76561198041994210,10.77,80.1,0.63,0,27,21,107,120,11,16,16,0
86,76561198351363010,4.85,65.28,0.27,0.14,6,5,30,19,2,0,6,0
86,76561199083078148,11.67,41.97,0.22,0,13,12,54,1,1,19,11,0
86,76561198114152242,25.45,543.78,0.93,0.11,20,14,40,23,34,0,3,0
86,76561198374557797,4.47,15.51,0.38,0,8,7,93,8,0,0,9,0
86,76561198170223930,1.9,29.2,0.41,0,17,12,192,92,5,12,3,0
86,76561198026345195,6.8,104.32,0.29,0.08,10,5,45,26,0,0,10,0
86,76561198256279519,1.2,18.05,0.29,0.17,25,22,139,32,6,56,3,0
86,76561198177469213,1.38,40.8,0.17,0,9,4,42,12,0,0,1,0
86,76561198316301252,17.65,100.91,0.37,0,8,6,57,38,1,3,10,0
86,76561198033418922,6.18,91.03,0.42,0.07,23,13,45,31,1,1,4,0
86,76561199052656569,24.0,35.55,0.4,0,4,5,31,38,0,0,1,0
86,76561198010685181,45.68,49.37,0.43,0.21,13,7,149,53,1,5,6,0
86,76561198169858530,9.02,80.47,0.21,0,19,13,54,16,3,14,39,0
86,76561198142138118,5.82,106.4,0.8,0.35,8,4,65,67,13,12,13,0
86,76561198026038994,2.58,11.49,0.43,0,99,45,0,48,4,166,8,0
86,76561198863478912,3.77,36.37,0.24,0.1,10,7,37,11,0,0,14,0
86,76561198328762350,3.52,131.2,0.72,0.08,8,5,48,0,2,0,8,0
86,76561198030476912,2.83,22.59,0.34,0.35,32,8,322,27,5,0,2,0
86,76561198836199831,1.07,22.38,0.14,0.4,11,12,92,0,0,4,7,0
86,76561198211595679,3.02,146.68,0.46,0.33,15,8,65,17,3,1,4,0
86,76561198002806506,1.13,26.25,0.23,0,12,7,197,0,4,0,17,0
86,76561198338656031,8.57,87.02,0.42,0.11,5,4,14,9,0,0,3,0
86,76561198412737158,1.43,58.8,0.27,0.26,11,8,13,16,1,0,13,0
86,76561198049643164,39.55,151.46,0.32,0,51,27,518,0,19,167,5,0
86,76561198797881955,3.52,37.13,0.72,0.05,16,12,66,0,1,0,10,0
86,76561198103854497,10.83,50.83,0.69,0,29,40,262,43,1,9,10,0
86,76561198962525119,2.35,60.38,0.24,0.14,80,63,206,41,0,50,8,0
86,76561198140370418,2.33,62.6,0.09,0,18,6,81,77,1,31,1,0
86,76561198070562119,13.92,37.71,0.29,0.42,21,13,77,96,2,4,15,0
86,76561198114028562,2.45,17.63,0.32,0.44,8,3,63,12,0,0,5,0
86,76561198987576686,1.57,0.26,0.02,0,5,6,33,21,0,0,15,0
86,76561199097780528,4.0,136.68,0.34,0.19,5,4,16,75,3,8,6,0
86,76561198016871266,1.02,11.62,0.2,0,35,11,554,155,3,41,10,0
86,76561198084016416,5.7,46.81,1.0,0.3,21,19,282,17,4,75,4,0
86,76561198828066802,41.35,289.68,0.37,0.19,32,37,271,17,2,0,30,0
